City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,6.45,87,44,5.46,SJ,1687818191
1,adamstown,-25.066,-130.1015,21.52,79,2,4.87,PN,1687818191
2,libreville,0.3925,9.4537,27.01,74,40,4.12,GA,1687818191
3,stanley,54.868,-1.6985,13.49,83,0,2.57,GB,1687818191
4,bethel,41.3712,-73.414,24.45,84,75,4.12,US,1687818191
5,turiacu,-1.6633,-45.3717,23.69,94,22,1.74,BR,1687818192
6,rio grande,-32.035,-52.0986,24.06,87,52,3.7,BR,1687818192
7,albany,42.6001,-73.9662,22.16,92,100,4.23,US,1687818192
8,taoudenni,22.6783,-3.9836,38.45,14,4,5.16,ML,1687818192
9,puerto natales,-51.7236,-72.4875,0.25,100,100,0.51,CL,1687818192
10,san luis de la loma,17.2706,-100.8939,29.94,73,90,6.14,MX,1687818192
11,keflavik,64.0049,-22.5624,12.95,93,75,4.12,IS,1687818193
12,port alfred,-33.5906,26.891,15.1,85,100,4.47,ZA,1687818193
13,iqaluit,63.7506,-68.5145,7.85,57,75,2.57,CA,1687818193
14,laojunmiao,39.8333,97.7333,15.62,30,100,2.61,CN,1687818193
15,avarua,-21.2078,-159.775,26.03,78,20,2.57,CK,1687818193
16,new norfolk,-42.7826,147.0587,11.07,72,94,3.2,AU,1687818193
17,new kingman-butler,35.265,-114.0323,35.1,5,0,10.29,US,1687818194
18,altpinar,39.2042,32.7478,17.62,72,3,2.46,TR,1687818194
19,nadym,65.5333,72.5167,11.72,61,100,2.17,RU,1687818194
20,sisimiut,66.9395,-53.6735,6.59,63,13,3.44,GL,1687818194
21,edinburgh of the seven seas,-37.0676,-12.3116,15.8,92,100,15.31,SH,1687818195
22,port elizabeth,-33.918,25.5701,15.16,84,100,6.69,ZA,1687818196
23,blackmans bay,-43.0167,147.3167,10.41,66,97,4.17,AU,1687818196
24,whitehorse,60.7161,-135.0538,21.43,35,100,3.09,CA,1687818196
25,margaret river,-33.95,115.0667,10.43,73,67,1.41,AU,1687818196
26,chonchi,-42.6128,-73.8092,7.29,87,99,1.85,CL,1687818197
27,solnechnyy,50.7214,136.6319,21.82,60,50,1.0,RU,1687818197
28,bilibino,68.0546,166.4372,17.38,53,3,8.15,RU,1687818197
29,anadyr,64.75,177.4833,12.28,76,20,2.0,RU,1687818197
30,san antonio de pale,-1.4014,5.6325,24.1,83,5,3.85,GQ,1687818197
31,godda,24.8333,87.2167,26.52,85,25,6.53,IN,1687818198
32,mount isa,-20.7333,139.5,12.87,88,61,1.54,AU,1687818198
33,bredasdorp,-34.5322,20.0403,13.14,89,89,9.23,ZA,1687818198
34,belozersk,60.0326,37.7957,14.72,65,26,1.96,RU,1687818198
35,cambria,35.5641,-121.0808,30.43,64,10,6.2,US,1687818198
36,sao jose de piranhas,-7.1206,-38.5019,26.04,53,100,1.94,BR,1687818198
37,ancud,-41.8697,-73.8203,8.63,86,100,5.76,CL,1687818199
38,puerto aysen,-45.4,-72.7,4.7,100,100,1.3,CL,1687818199
39,thompson,55.7435,-97.8558,21.09,30,40,2.57,CA,1687818199
40,tutoia,-2.7619,-42.2744,26.41,79,9,5.33,BR,1687818199
41,chipinge,-20.1883,32.6236,9.54,50,0,1.92,ZW,1687818199
42,atafu village,-8.5421,-172.5159,28.69,75,41,6.73,TK,1687818200
43,nova vicosa,-17.8919,-39.3719,22.53,77,92,3.14,BR,1687818081
44,east london,-33.0153,27.9116,15.29,81,100,7.19,ZA,1687818200
45,tumsar,21.3833,79.7333,24.5,92,100,5.0,IN,1687818200
46,sur,22.5667,59.5289,29.53,75,90,6.21,OM,1687818200
47,qaqortoq,60.7167,-46.0333,5.25,80,100,2.91,GL,1687818200
48,vernon,50.2581,-119.2691,32.74,23,11,1.54,CA,1687817914
49,madinat ash shamal,26.1293,51.2009,30.69,59,76,2.15,QA,1687818201
50,onega,63.9061,38.1404,14.95,67,67,2.84,RU,1687818201
51,saladas,-28.2538,-58.6259,24.72,58,0,2.59,AR,1687818201
52,catalao,-18.1658,-47.9464,18.62,45,0,2.66,BR,1687818201
53,coxen hole,16.3244,-86.5366,30.2,78,20,6.69,HN,1687818201
54,ketchikan,55.3422,-131.6461,16.26,88,100,3.6,US,1687818201
55,kuala tungkal,-0.8167,103.4667,24.19,95,93,2.61,ID,1687818202
56,dalhart,36.0595,-102.5133,32.49,48,0,7.72,US,1687818202
57,pimenta bueno,-11.6725,-61.1936,26.38,56,2,1.66,BR,1687818202
58,conduaga,8.862,117.4893,26.47,85,73,2.48,PH,1687818202
59,ribeira grande,38.5167,-28.7,20.43,87,56,2.68,PT,1687818202
60,talnakh,69.4865,88.3972,9.56,63,13,2.56,RU,1687818202
61,punta arenas,-53.15,-70.9167,1.73,69,100,4.31,CL,1687818203
62,grytviken,-54.2811,-36.5092,-2.73,89,100,3.1,GS,1687818203
63,ulanhot,46.0833,122.0833,23.23,58,100,1.03,CN,1687818203
64,saipan,15.1355,145.701,29.39,100,40,5.36,MP,1687818203
65,hillsdale,41.0026,-74.0404,25.55,81,100,8.75,US,1687818203
66,la ronge,55.1001,-105.2842,21.14,32,75,3.6,CA,1687818204
